"","CARREIRA","CARGO","occupation_native","occupation_english"
"1125","ASSESSOR ESPECIAL DE IRRIGACAO E UNIDADE","ASSESSOR ESPECIAL DE IRRIGACAO E UNIDADE","assessor especial de irrigacao e unidade","special irrigation and unit advisor"
"1126","SUPERINT. DE POLITICAS PARA A MULHER","SUPERINT. DE POLITICAS PARA A MULHER","superint. de politicas para a mulher","superint. policies for women"
"1127","SUPERVISOR DE DESENVOLVIMENTO PEDAGOGICO","SUPERVISOR DE DESENVOLVIMENTO PEDAGOGICO","supervisor de desenvolvimento pedagogico","pedagogical development supervisor"
"1128","AGENTE ESPECIAL DE SINE DE FISCALIZACAO","AGENTE ESPECIAL DE SINE DE FISCALIZACAO","agente especial de sine de fiscalizacao","special supervisory sine agent"
"1129","ASSESSOR ESPECIAL DE PROMOCAO DE POLITIC","ASSESSOR ESPECIAL DE PROMOCAO DE POLITIC","assessor especial de promocao de politic","politic special advisor"
"1130","ASSESSOR TECNICO DE CONTROLE DE PROCESSO","ASSESSOR TECNICO DE CONTROLE DE PROCESSO","assessor tecnico de controle de processo","technical process control advisor"
"1131","SUPERVISOR DE PROJETOS DE ESGOTAMENTO SA","SUPERVISOR DE PROJETOS DE ESGOTAMENTO SA","supervisor de projetos de esgotamento sa","sawal project supervisor"
"1132","ASSESSOR TECNICO DE INFORMACAO DE MERCAD","ASSESSOR TECNICO DE INFORMACAO DE MERCAD","assessor tecnico de informacao de mercad","mercad information technical advisor"
"1133","GERENTE DE ARTICULACAO DE POLITICAS PARA","GERENTE DE ARTICULACAO DE POLITICAS PARA","gerente de articulacao de politicas para","policy artication manager for"
"1134","SUPERVISOR DE ACOMPANHAMENTO DE PROCESSO","SUPERVISOR DE ACOMPANHAMENTO DE PROCESSO","supervisor de acompanhamento de processo","process monitoring supervisor"
"1135","SUPERVISOR DE ACOES DE COMBATE A VIOLENC","SUPERVISOR DE ACOES DE COMBATE A VIOLENC","supervisor de acoes de combate a violenc","supervisor of fighting vioranc"
"1136","ASSESSOR TECNICO DE EMPREENDEDORISMO","ASSESSOR TECNICO DE EMPREENDEDORISMO","assessor tecnico de empreendedorismo","technical advisor of entrepreneurship"
"1137","SUPERVISOR DE ORCAMENTOS PARA PROJETOS E","SUPERVISOR DE ORCAMENTOS PARA PROJETOS E","supervisor de orcamentos para projetos e","project orcas supervisor and"
"1138","SUPERVISOR DE LOGISTICA","SUPERVISOR DE LOGISTICA","supervisor de logistica","logistics supervisor"
"1139","ASSESSOR TEC. DE EXECUCAO E MONIT. DE PO","ASSESSOR TEC. DE EXECUCAO E MONIT. DE PO","assessor tec. de execucao e monit. de po","tec. of execution and monit. po"
"1140","ASSESSOR TECNICO DE FISCALIZACAO E COBRA","ASSESSOR TECNICO DE FISCALIZACAO E COBRA","assessor tecnico de fiscalizacao e cobra","technical advisor for inspection and snake"
"1141","SUPERVISOR DE VIABILIDADE E APROVACAO DE","SUPERVISOR DE VIABILIDADE E APROVACAO DE","supervisor de viabilidade e aprovacao de","viability supervisor and approval of"
"1142","SUPERVISOR DE CADASTRO","SUPERVISOR DE CADASTRO","supervisor de cadastro","registration supervisor"
"1143","ASSESSOR TEC. DE ACOES DE COMB. A VIOLEN","ASSESSOR TEC. DE ACOES DE COMB. A VIOLEN","assessor tec. de acoes de comb. a violen","tec. of comb. violence"
"1144","SUPERVISOR DE CADASTRO SOCIOECONOMICO","SUPERVISOR DE CADASTRO SOCIOECONOMICO","supervisor de cadastro socioeconomico","socioeconomic registration supervisor"
"1145","ASSESSOR TECNICO DE CADASTRO","ASSESSOR TECNICO DE CADASTRO","assessor tecnico de cadastro","technical registration advisor"
"1146","ASSESSOR TECNICO DE IRRIGACAO","ASSESSOR TECNICO DE IRRIGACAO","assessor tecnico de irrigacao","irrigation technician advisor"
"1147","ASSESSOR TECNICO DE ARTICULACAO DE POLIT","ASSESSOR TECNICO DE ARTICULACAO DE POLIT","assessor tecnico de articulacao de polit","polit articulation technician advisor"
"1148","SUPERINT. DE RELACOES DO TRABALHO E EMPR","SUPERINT. DE RELACOES DO TRABALHO E EMPR","superint. de relacoes do trabalho e empr","superint. of work relationships and"
"1149","SUPERVISOR EXECUTIVO DE TECNOLOGIA DA IN","SUPERVISOR EXECUTIVO DE TECNOLOGIA DA IN","supervisor executivo de tecnologia da in","executive technology supervisor at"
"1150","SUPERINT. DE PROCEDIMENTOS ADMINISTRATIV","SUPERINT. DE PROCEDIMENTOS ADMINISTRATIV","superint. de procedimentos administrativ","superint. of administrative procedures"
"1151","SUPERVISOR EXECUTIVO ADMINISTRATIVO","SUPERVISOR EXECUTIVO ADMINISTRATIVO","supervisor executivo administrativo","administrative executive supervisor"
"1152","ASSESSOR DE CONTROLADORIA INTERNA","ASSESSOR DE CONTROLADORIA INTERNA","assessor de controladoria interna","internal controlling advisor"
"1153","SUPERINT. DE POLIT. PARA OS DIR. HUM. E","SUPERINT. DE POLIT. PARA OS DIR. HUM. E","superint. de polit. para os dir. hum. e","superint. of polit. for the dir. hum. and"
"1154","ASSESSOR ESP. PROM. POL. PARA OS DIR. HU","ASSESSOR ESP. PROM. POL. PARA OS DIR. HU","assessor esp. prom. pol. para os dir. hu","advisor esp. prom. pol. for the dir. hu"
"1155","SUP. DE ARTIC. POLIT. PUB. PARA OS DIR.","SUP. DE ARTIC. POLIT. PUB. PARA OS DIR.","sup. de artic. polit. pub. para os dir.","sup. of artic. polit. pub. for the dir."
"1156","ASSESSOR TECNICO DE PROMOCAO DOS DIREITO","ASSESSOR TECNICO DE PROMOCAO DOS DIREITO","assessor tecnico de promocao dos direito","technical advisor to promotion of the law"
"1157","AGENTE DE SINE PENEDO","AGENTE DE SINE PENEDO","agente de sine penedo","sine penedo agent"
"1158","SUPERINT. DE POLITICAS DOS DIREITOS DA P","SUPERINT. DE POLITICAS DOS DIREITOS DA P","superint. de politicas dos direitos da p","superint. policies of p rights of p"
"1159","ASSESSOR ESPECIAL DE PROM. DOS DIREITOS","ASSESSOR ESPECIAL DE PROM. DOS DIREITOS","assessor especial de prom. dos direitos","prom. rights"
"1160","SUPERVISOR DE ARTICULACAO DE POLIT. PARA","SUPERVISOR DE ARTICULACAO DE POLIT. PARA","supervisor de articulacao de polit. para","polyt articulation supervisor. to"
"1161","AGENTE DE SINE SANTANA DO IPANEMA","AGENTE DE SINE SANTANA DO IPANEMA","agente de sine santana do ipanema","sine santana do ipanema agent"
"1162","ASSESSOR TECNICO DE PROMOCAO DA ACESSIBI","ASSESSOR TECNICO DE PROMOCAO DA ACESSIBI","assessor tecnico de promocao da acessibi","accessibi promotion technical advisor"
"1163","AGENTE DE SINE DELMIRO GOUVEIA","AGENTE DE SINE DELMIRO GOUVEIA","agente de sine delmiro gouveia","sine delmiro gouveia agent"
"1164","SUPERINT. DE PROTECAO E DEFESA DO CONSUM","SUPERINT. DE PROTECAO E DEFESA DO CONSUM","superint. de protecao e defesa do consum","superint. protection and defense of consum"
"1165","GERENTE DE PROTECAO E DEFESA DO CONSUMID","GERENTE DE PROTECAO E DEFESA DO CONSUMID","gerente de protecao e defesa do consumid","consumer protection and protection manager"
"1166","SUPERVISOR DE POLITICAS ESTUDANTIS","SUPERVISOR DE POLITICAS ESTUDANTIS","supervisor de politicas estudantis","student policy supervisor"
"1167","SUPERVISOR JURIDICO DO PROCON","SUPERVISOR JURIDICO DO PROCON","supervisor juridico do procon","procon legal supervisor"
"1168","AGENTE DE SINE ARAPIRACA","AGENTE DE SINE ARAPIRACA","agente de sine arapiraca","sine arapiraca agent"
"1169","SUPERVISOR DE PLANEJAMENTO E DESENVOLVIM","SUPERVISOR DE PLANEJAMENTO E DESENVOLVIM","supervisor de planejamento e desenvolvim","planning and development supervisor"
"1170","SUPERVISOR DE CARTORIO DO PROCON","SUPERVISOR DE CARTORIO DO PROCON","supervisor de cartorio do procon","procon's notary supervisor"
"1171","SUPERVISOR DE CONTAS A PAGAR","SUPERVISOR DE CONTAS A PAGAR","supervisor de contas a pagar","supervisor of accounts payable"
"1172","ASSESSOR TECNICO DE FISCALIZACAO","ASSESSOR TECNICO DE FISCALIZACAO","assessor tecnico de fiscalizacao","technical advisor to"
"1173","ASSESSOR TECNICO DE PESQUISA E CALCULO","ASSESSOR TECNICO DE PESQUISA E CALCULO","assessor tecnico de pesquisa e calculo","research and calculation technical advisor"
"1174","AGENTE DE SINE MANGABEIRAS","AGENTE DE SINE MANGABEIRAS","agente de sine mangabeiras","sine mangabeiras agent"
"1175","GERENTE EXECUTIVO E PLANEJAMENTO, ORCAME","GERENTE EXECUTIVO E PLANEJAMENTO, ORCAME","gerente executivo e planejamento, orcame","executive manager and planning, orcame"
"1176","SUPERINT. DE REPRESENTACAO DO ESTADO EM","SUPERINT. DE REPRESENTACAO DO ESTADO EM","superint. de representacao do estado em","superint. state representation in"
"1177","ASSESSOR DE CERIMONIAL","ASSESSOR DE CERIMONIAL","assessor de cerimonial","ceremonial advisor"
"1178","ASSESSOR TECNICO DE COMBUSTIVEL","ASSESSOR TECNICO DE COMBUSTIVEL","assessor tecnico de combustivel","fuel technical advisor"
"1179","SUPERVISOR DE APOIO A GESTAO ACADEMICA","SUPERVISOR DE APOIO A GESTAO ACADEMICA","supervisor de apoio a gestao academica","support supervisor to academic management"
"1180","ASSESSOR ESPECIAL DE REPRESENTACAO DO ES","ASSESSOR ESPECIAL DE REPRESENTACAO DO ES","assessor especial de representacao do es","special advisor of representation of es"
"1181","SUPERVISOR DE LICITACOES E CONTRATOS","SUPERVISOR DE LICITACOES E CONTRATOS","supervisor de licitacoes e contratos","supervisor of bids and contracts"
"1182","SUPERINT. DE DESENVOLVIMENTO URBANO","SUPERINT. DE DESENVOLVIMENTO URBANO","superint. de desenvolvimento urbano","superint. urban development"
"1183","ASSESSOR TECNICO DE REPRESENTACAO DO EST","ASSESSOR TECNICO DE REPRESENTACAO DO EST","assessor tecnico de representacao do est","technical advisor to representation of est"
"1184","ASSIST. DO NUCLEO DA PROC. GERAL DO EST.","ASSIST. DO NUCLEO DA PROC. GERAL DO EST.","assist. do nucleo da proc. geral do est.","assist of the core of proc. general of est."
"1185","SUPERVISOR DE PASSAGEM AEREA","SUPERVISOR DE PASSAGEM AEREA","supervisor de passagem aerea","aere passion supervisor"
"1186","SUPERINT. DE ENGENHARIA E TECNOLOGIA DE","SUPERINT. DE ENGENHARIA E TECNOLOGIA DE","superint. de engenharia e tecnologia de","superint. engineering and technology of"
"1187","ASSESSOR EXECUTIVO DA TRANSPARENCIA","ASSESSOR EXECUTIVO DA TRANSPARENCIA","assessor executivo da transparencia","executive advisor to transparencia"
"1188","ASSESSOR TECNICO DE ATENDIMENTO","ASSESSOR TECNICO DE ATENDIMENTO","assessor tecnico de atendimento","technical service advisor"
"1189","ASSESSOR AMBIENTAL DE LABORATORIO","ASSESSOR AMBIENTAL DE LABORATORIO","assessor ambiental de laboratorio","environmental laboratory advisor"
"1190","ASSESSOR TECNICO DE CIRETRAN DELMIRO GOU","ASSESSOR TECNICO DE CIRETRAN DELMIRO GOU","assessor tecnico de ciretran delmiro gou","ciretran delmiro gou technical advisor"
"1191","SUPERVISOR DE MEDIACAO SOCIAL","SUPERVISOR DE MEDIACAO SOCIAL","supervisor de mediacao social","social mediation supervisor"
"1192","GERENTE DE SAUDE","GERENTE DE SAUDE","gerente de saude","health manager"
"1193","GERENTE REGIONAL DE EDUCACAO 6ª REGIAO","GERENTE REGIONAL DE EDUCACAO 6ª REGIAO","gerente regional de educacao 6ª regiao","regional education manager 6th region"
"1194","SUPERVISOR DE POLITICAS E PROGRAMAS ASSI","SUPERVISOR DE POLITICAS E PROGRAMAS ASSI","supervisor de politicas e programas assi","supervisor of policies and programs assi"
"1195","SUPERVISOR DE PLANOS DE DESENV AMBIENTAL","SUPERVISOR DE PLANOS DE DESENV AMBIENTAL","supervisor de planos de desenv ambiental","environmental development plans supervisor"
"1196","GERENTE DE EDITAL E CONTRATO","GERENTE DE EDITAL E CONTRATO","gerente de edital e contrato","notice and contract manager"
"1197","SUPERINT. DE TECNOLOGIA DA INFORMACAO E","SUPERINT. DE TECNOLOGIA DA INFORMACAO E","superint. de tecnologia da informacao e","superint. of information technology and"
"1198","SUPERVISOR DE REGULARIZACAO E LICENCIAME","SUPERVISOR DE REGULARIZACAO E LICENCIAME","supervisor de regularizacao e licenciame","regularization and licence supervisor"
"1199","GERENTE REGIONAL DE EDUCACAO 8ª REGIAO","GERENTE REGIONAL DE EDUCACAO 8ª REGIAO","gerente regional de educacao 8ª regiao","regional education manager 8th region"
"1200","ASSESSOR TECNICO DE CAPACITACAO","ASSESSOR TECNICO DE CAPACITACAO","assessor tecnico de capacitacao","training advisor"
"1201","GERENTE DE DESENVOLVIMENTO","GERENTE DE DESENVOLVIMENTO","gerente de desenvolvimento","development manager"
"1202","ASSESSOR TEC. DE INFRAEST. DE TECNOLOGIA","ASSESSOR TEC. DE INFRAEST. DE TECNOLOGIA","assessor tec. de infraest. de tecnologia","tec. infraest. technology"
"1203","ASSESSOR TECNICO DA JUNTA COMERCIAL","ASSESSOR TECNICO DA JUNTA COMERCIAL","assessor tecnico da junta comercial","technical advisor of the commercial board"
"1204","VICE- PRESIDENTE DA JUNTA COMERCIAL","VICE- PRESIDENTE DA JUNTA COMERCIAL","vice- presidente da junta comercial","vice president of the commercial board"
"1205","SUPERVISOR DE ELABORACAO DE PROJETOS","SUPERVISOR DE ELABORACAO DE PROJETOS","supervisor de elaboracao de projetos","project elaboration supervisor"
"1206","SECRETARIO GERAL DA JUNTA COMERCIAL","SECRETARIO GERAL DA JUNTA COMERCIAL","secretario geral da junta comercial","general secretary of the commercial board"
"1207","SUPERVISOR DE MONIT. DE ARRANJOS PRODUTI","SUPERVISOR DE MONIT. DE ARRANJOS PRODUTI","supervisor de monit. de arranjos produti","monit supervisor. of product arrangements"
"1208","SUPERINT. DE TURISMO","SUPERINT. DE TURISMO","superint. de turismo","superint. tourism"
"1209","ASSESSOR TECNICO CULTURAL","ASSESSOR TECNICO CULTURAL","assessor tecnico cultural","cultural technical advisor"
"1210","PRESIDENTE DA JUNTA COMERCIAL","PRESIDENTE DA JUNTA COMERCIAL","presidente da junta comercial","president of the commercial board"
"1211","SUPERVISOR DE ESTUDOS E PESQUISAS","SUPERVISOR DE ESTUDOS E PESQUISAS","supervisor de estudos e pesquisas","supervisor of study and research"
"1212","ASSESSOR DE MONIT. SETORIAL","ASSESSOR DE MONIT. SETORIAL","assessor de monit. setorial","monit advisor. sectoral"
"1213","SUPERVISOR DE INFRAESTRUTURA DE TECNOLOG","SUPERVISOR DE INFRAESTRUTURA DE TECNOLOG","supervisor de infraestrutura de tecnolog","technology infrastructure supervisor"
"1214","SUPERVISOR DA GESTAO COMPARTILHADA","SUPERVISOR DA GESTAO COMPARTILHADA","supervisor da gestao compartilhada","shared management supervisor"
"1215","ASSESSOR ESPECIAL DA JUNTA COMERCIAL","ASSESSOR ESPECIAL DA JUNTA COMERCIAL","assessor especial da junta comercial","special advisor to the commercial board"
"1216","SUPERVISOR DE SISTEMAS","SUPERVISOR DE SISTEMAS","supervisor de sistemas","systems supervisor"
"1217","GERENTE DE POLITICA AGRARIA E FUNDIARIA","GERENTE DE POLITICA AGRARIA E FUNDIARIA","gerente de politica agraria e fundiaria","policy manager agrarious and filling"
"1218","GERENTE DE RELACOES COM O MERCADO","GERENTE DE RELACOES COM O MERCADO","gerente de relacoes com o mercado","relationship manager with the market"
"1219","ASSESSOR ESPECIAL DE CERIMONIAL","ASSESSOR ESPECIAL DE CERIMONIAL","assessor especial de cerimonial","special ceremonial advisor"
"1220","SUPERVISOR DE CAPACITACAO DO TURISMO","SUPERVISOR DE CAPACITACAO DO TURISMO","supervisor de capacitacao do turismo","tourism training supervisor"
"1221","ASSESSOR TECNICO DOS NUCLEOS QUILOMBOLAS","ASSESSOR TECNICO DOS NUCLEOS QUILOMBOLAS","assessor tecnico dos nucleos quilombolas","nuclei quilombolas technical advisor"
"1222","SUPERVISOR DE ESTATISTICA E AVALIACAO ED","SUPERVISOR DE ESTATISTICA E AVALIACAO ED","supervisor de estatistica e avaliacao ed","static and evaluation supervisor ed"
"1223","SUPERVISOR DE DESTINOS","SUPERVISOR DE DESTINOS","supervisor de destinos","destinations supervisor"
"1224","GERENTE DE QUALIFICACAO","GERENTE DE QUALIFICACAO","gerente de qualificacao","qualification manager"
"1225","DIRETOR DO CONS. EST DE SEG PUBLICA","DIRETOR DO CONS. EST DE SEG PUBLICA","diretor do cons. est de seg publica","director of cons. public sec"
"1226","GERENTE REGIONAL DE EDUCACAO 10ª REGIAO","GERENTE REGIONAL DE EDUCACAO 10ª REGIAO","gerente regional de educacao 10ª regiao","regional education manager 10th region"
"1227","ASSESSOR TECNICO - LOT GENERICA","ASSESSOR TECNICO - LOT GENERICA","assessor tecnico - lot generica","technical advisor - lot generica"
"1228","GERENTE REGIONAL DE EDUCACAO 2ª REGIAO","GERENTE REGIONAL DE EDUCACAO 2ª REGIAO","gerente regional de educacao 2ª regiao","regional education manager 2nd region"
"1229","ASSESSOR TEC DO CONS EST DE SEG PUBLICA","ASSESSOR TEC DO CONS EST DE SEG PUBLICA","assessor tec do cons est de seg publica","tec advisor of the public seg"
"1230","GERENTE DE REGISTROS","GERENTE DE REGISTROS","gerente de registros","registration manager"
"1231","GERENTE DE INFRAESTRUTURA DE TECNOLOGIA","GERENTE DE INFRAESTRUTURA DE TECNOLOGIA","gerente de infraestrutura de tecnologia","technology infrastructure manager"
"1232","SUPERVISOR DE SAUDE E ASSISTENCIA","SUPERVISOR DE SAUDE E ASSISTENCIA","supervisor de saude e assistencia","health and assistance supervisor"
"1233","ASSESSOR AMBIENTAL DE FISCALIZACAO COSTE","ASSESSOR AMBIENTAL DE FISCALIZACAO COSTE","assessor ambiental de fiscalizacao coste","environmental advisor of inspection cost"
"1234","GERENTE DE DESENVOLVIMENTO INTEGRAL","GERENTE DE DESENVOLVIMENTO INTEGRAL","gerente de desenvolvimento integral","integral development manager"
"1235","GERENTE DE UNIDADES","GERENTE DE UNIDADES","gerente de unidades","unit manager"
"1236","SUPERVISOR DE UNIDADE HOSPITALAR","SUPERVISOR DE UNIDADE HOSPITALAR","supervisor de unidade hospitalar","hospital unit supervisor"
"1237","ASSESSOR TECNICO DE EMPENHO","ASSESSOR TECNICO DE EMPENHO","assessor tecnico de empenho","commitment technical advisor"
"1238","ASSESSOR TECNICO DE PLANEJAMENTO E ORCAM","ASSESSOR TECNICO DE PLANEJAMENTO E ORCAM","assessor tecnico de planejamento e orcam","planning and orcam technical advisor"
"1239","GERENTE DE EDUCACAO PROFISSIONAL E ENSIN","GERENTE DE EDUCACAO PROFISSIONAL E ENSIN","gerente de educacao profissional e ensin","professional education manager and ensin"
"1240","SUPERVISOR DE OPERACOES ESCOLARES","SUPERVISOR DE OPERACOES ESCOLARES","supervisor de operacoes escolares","school operations supervisor"
"1241","SUPERVISOR DO ATENDIMENTO MOVEL DE URGEN","SUPERVISOR DO ATENDIMENTO MOVEL DE URGEN","supervisor do atendimento movel de urgen","urgen movel service supervisor"
"1242","GERENTE REGIONAL DE EDUCACAO 3ª REGIAO","GERENTE REGIONAL DE EDUCACAO 3ª REGIAO","gerente regional de educacao 3ª regiao","regional education manager 3rd region"
"1243","ASSESSOR TECNICO DE EQUIPAMENTOS DE SAUD","ASSESSOR TECNICO DE EQUIPAMENTOS DE SAUD","assessor tecnico de equipamentos de saud","health equipment technical advisor"
"1244","ASSESSOR TECNICO DE CONVENIOS","ASSESSOR TECNICO DE CONVENIOS","assessor tecnico de convenios","technical advisor of conveniences"
